583;meriare ;Ovalado ;Kwi jüda ye meriare  ;El huevo de gallina es ovalada  ;subidos/audios/prueba.mp3;subidos/imagenes/583_letra_m.png;1;0;0;0;29/03/2020;0
584;mede ;Carne  ;Mede ñukwä nibi matare ;Hoy no hay carne  ;subidos/audios/prueba.mp3;subidos/imagenes/584_letra_m.png;1;0;0;0;30/03/2020;0
585;mi ;Árbol de mayo ;Ani mi ye nögö  ;Vamos a sembrar el árbol de mayo  ;subidos/audios/prueba.mp3;subidos/imagenes/585_letra_m.png;1;0;0;0;31/03/2020;0
586;migue ;Poner, colocar ;Dän migue tibien   ; Ponga la ropa al suelo ;subidos/audios/prueba.mp3;subidos/imagenes/586_letra_m.png;1;0;0;0;01/04/2020;0
587;miri ;Colocó ;Ngi miri tigwe ñugwäte  ;Coloque la leña en el  fogón  ;subidos/audios/prueba.mp3;subidos/imagenes/587_letra_m.png;1;0;0;0;02/04/2020;0
588;miti ;Golpeó ;Meri  se miti kwe  ;El golpeo a esa mujer  ;subidos/audios/prueba.mp3;subidos/imagenes/588_letra_m.png;1;0;0;0;03/04/2020;0
589;midra ;Palmito ;Matare nigwe mitra kwetai ;Hoy vamos a comer palmito  ;subidos/audios/prueba.mp3;subidos/imagenes/589_letra_m.png;1;0;0;0;04/04/2020;0
590;minchi ;Gato ;Minchi ye tigwe  ;Esa gato es mío  ;subidos/audios/prueba.mp3;subidos/imagenes/590_letra_m.png;1;0;0;0;05/04/2020;0
591;mia ;Chilate ;Mia ye ñain  ;Tomate el chilate  ;subidos/audios/prueba.mp3;subidos/imagenes/591_letra_m.png;1;0;0;0;06/04/2020;0
592;miguete ;Deje  ;Kra ye miguete tibien    ;Deje al suelo esa chácara  ;subidos/audios/prueba.mp3;subidos/imagenes/592_letra_m.png;1;0;0;0;07/04/2020;0
593;miga ;Nance ;Miga ye bä sübrüre  ;El nace es de color amarillo  ;subidos/audios/prueba.mp3;subidos/imagenes/593_letra_m.png;1;0;0;0;08/04/2020;0
594;mitrin ;Arriba ;Ju tigue tä mitrin  ;Mi casa está arriba.  ;subidos/audios/prueba.mp3;subidos/imagenes/594_letra_m.png;1;0;0;0;09/04/2020;0
595;mire ;morado ;Kri blü ne bä mire  ;Esta flor es de color morado.  ;subidos/audios/prueba.mp3;subidos/imagenes/595_letra_m.png;1;0;0;0;10/04/2020;0
