id;t_gnabere;t_espanol;texto_gnabere.;texto_espanol;url_audio;url_imagen;id_usuario;vistas;me_gusta;no_me_gusta;fecha;borrado
282;Gwa;Pescado ;Gwa ye mrende. ;Ese pescado es del mar. ;subidos/audios/prueba.mp3;subidos/imagenes/282_letra_gw.png;1;0;0;0;06/02/2020 11:17;0
283;Gwä ;Ya ;Ani gwä sribire. ;Vamos ya a trabajar. ;subidos/audios/prueba.mp3;subidos/imagenes/282_letra_gw.png;1;0;0;0;06/02/2020 11:17;0
284;Gwä ngwäne ;De inmediato;Jagwe gwä ngwäne.;Venga de inmediato. ;subidos/audios/prueba.mp3;subidos/imagenes/284_letra_gw.png;1;0;0;0;06/02/2020 11:17;0
285;Gwaire ;Juntos ;Blite gwaire ngäbere. ;Hablen juntos en ngäbere. ;subidos/audios/prueba.mp3;subidos/imagenes/285_letra_gw.png;1;0;0;0;06/02/2020 11:17;0
286;Gwairebe ;Todos ;Juben gwairebe dötrö. ;Bañasen rápidos todos. ;subidos/audios/prueba.mp3;subidos/imagenes/286_letra_gw.png;1;0;0;0;06/02/2020 11:17;0
287;Gwara ;Lombriz ;Gwara  möin deme.;Escarbe despacio la lombriz. ;subidos/audios/prueba.mp3;subidos/imagenes/287_letra_gw.png;1;0;0;0;06/02/2020 11:17;0
288;Gwi;Adentro( de una casa);Jagwe gwi nete. ;Venga aquí adentro de la casa. ;subidos/audios/prueba.mp3;subidos/imagenes/288_letra_gw.png;1;0;0;0;06/02/2020 11:17;0
289;Gwreta ;Rana ;Gwreta ye turi mägwe.  ;Usted vio a una rana.  ;subidos/audios/prueba.mp3;subidos/imagenes/289_letra_gw.png;1;0;0;0;06/02/2020 11:17;0
