id;t_gnabere;t_espanol;texto_gnabere.;texto_espanol;url_audio;url_imagen;id_usuario;vistas;me_gusta;no_me_gusta;fecha;borrado
322;Jade;Orilla del rio;Chi ye migue jade. ;Ponga al bebe a la orilla del rio.;subidos/audios/prueba.mp3;subidos/imagenes/322_letra_j.png;1;0;0;0;06/02/2020 11:17;0
323;Jamaga;Jamaca ;Jamaga ye kaingä. ;Alce esa jamaca. ;subidos/audios/prueba.mp3;subidos/imagenes/323_letra_j.png;1;0;0;0;06/02/2020 11:17;0
324;Järä;Barranco;Järä ye toen diore mende.;Se observa el barranco desde muy lejos. ;subidos/audios/prueba.mp3;subidos/imagenes/324_letra_j.png;1;0;0;0;06/02/2020 11:17;0
325;Jäde;Dentro de la piedra;Kebe ye tä jäde. ;El camarón está en la piedra.;subidos/audios/prueba.mp3;subidos/imagenes/325_letra_j.png;1;0;0;0;06/02/2020 11:17;0
326;Jene;Diferente;Kwe blitani jene matare. ;El hablo diferente hoy. ;subidos/audios/prueba.mp3;subidos/imagenes/326_letra_j.png;1;0;0;0;06/02/2020 11:17;0
327;Jenena;Particular;Meri ye jenena. ;Ella es particular. ;subidos/audios/prueba.mp3;subidos/imagenes/327_letra_j.png;1;0;0;0;06/02/2020 11:17;0
328;Jetebe;Mañana;Jetebe bato kämigai. ;Mañana mataran al pato.;subidos/audios/prueba.mp3;subidos/imagenes/328_letra_j.png;1;0;0;0;06/02/2020 11:17;0
329;Jeñe ;Propio(a) ;Matare ju tigwe jeñe. ;Ahora tengo mi propia casa.;subidos/audios/prueba.mp3;subidos/imagenes/329_letra_j.png;1;0;0;0;06/02/2020 11:17;0
330;Jedi;Nombre de mujer;Ti bün kä jedi. ;Mi nieta se llama jedi. ;subidos/audios/prueba.mp3;subidos/imagenes/330_letra_j.png;1;0;0;0;06/02/2020 11:17;0
331;Ji;Camino;Brän ji bäsegä. ;Vamos a limpiar el camino. ;subidos/audios/prueba.mp3;subidos/imagenes/331_letra_j.png;1;0;0;0;06/02/2020 11:17;0
332;Jibiegä ;Aflojar, soltar ;Meri ye kise jibiegä. ;Suelte  la mano de esa mujer. ;subidos/audios/prueba.mp3;subidos/imagenes/332_letra_j.png;1;0;0;0;06/02/2020 11:17;0
333;Jien;Freir, tostar ;Dere ani gwa jien. ;En la tarde vamos a freír pescado. ;subidos/audios/prueba.mp3;subidos/imagenes/333_letra_j.png;1;0;0;0;06/02/2020 11:17;0
334;Jie;Rastro, huella ;Nusi jie turi tigwe. ;Yo vi el rastro del armadillo. ;subidos/audios/prueba.mp3;subidos/imagenes/334_letra_j.png;1;0;0;0;06/02/2020 11:17;0
335;Jisai ;Cerebro ;Kwi jidai ñaka kwetare. ;No se debe comer el cerebro de la gallina. ;subidos/audios/prueba.mp3;subidos/imagenes/335_letra_j.png;1;0;0;0;06/02/2020 11:17;0
336;Jibe;Cosquilloso ;Meri ye jibe ulie btä. ;Esa es muy cosquilloso en la piernas.;subidos/audios/prueba.mp3;subidos/imagenes/336_letra_j.png;1;0;0;0;06/02/2020 11:17;0
337;Jide;En el camino;Mägwe ni ye ngoba jide.;Espere a esa persona en el camino. ;subidos/audios/prueba.mp3;subidos/imagenes/337_letra_j.png;1;0;0;0;06/02/2020 11:17;0
338;Jidiguin;Nombre de Chicharra;Jidiguin ye juendari. ;Espante el Jidiguin. ;subidos/audios/prueba.mp3;subidos/imagenes/338_letra_j.png;1;0;0;0;06/02/2020 11:17;0
339;Jole;Nombre de Chicharra;Jole kwiti nugwägwe. ;El pájaro se comió un Jole. ;subidos/audios/prueba.mp3;subidos/imagenes/339_letra_j.png;1;0;0;0;06/02/2020 11:17;0
